,graph_name,getrgfapc,getrgfapc_time,longest for getrgf,longest time,case,gamma
0,_to_uchar,1.0**(n + 1),0.5757088661193848,gammaTime,0.413,1.0,-T0 + x**3
1,_argmatch,0.848646862899267*1.2089561565066**n,4.301500558853149,gammaTime,2.273,1.0,-T0 + x**4*(T0 + x*(x*(T0*x**3*(x**2*(x + 2) + 1) + 1) + 2))
2,_rotr16,1.0**(n + 1),0.14977121353149414,gammaTime,0.066,1.0,-T0 + x**3
3,_signal_setup,0.118699004951305*1.16730397826149**n*n,4.456171274185181,gammaTime,2.984,1.0,(-T0*(x**10 + 2*x**9 + x**8 - 2*x**5 - 2*x**4 + 1) + x**5*(-x**5 - x**4 + x**2 + 1))/(x**10 + 2*x**9 + x**8 - 2*x**5 - 2*x**4 + 1)
4,_indent,0.505408981194275*1.26716830454219**n,1.458909273147583,gammaTime,0.687,1.0,-T0 + x**3*(T0*x*(2*x + 1) + 1)
5,_strcmp_df_extension,1.0**(n + 1),0.1489708423614502,gammaTime,0.058,1.0,-T0 + x**3
6,_file_prefixlen,0.0569041692103496*1.47997009045059**n,16.08870577812195,gammaTime,13.365,1.0,(-T0*(x**10 + 2*x**9 + x**8 + x**7 + x**6 + x**4 + x**3 - 1) + 2*x**4*(T0*x**2*(x**8 + 2*x**7 + x**6 + x**5 + x**4 - x - 1) + x**10 + 2*x**9 + x**8 + x**7 + x**6 + x**4 + x**3 - 1))/(x**10 + 2*x**9 + x**8 + x**7 + x**6 + x**4 + x**3 - 1)
7,_rev_strcmp_df_btime,1.0**(n + 1),0.15627813339233398,gammaTime,0.064,1.0,-T0 + x**3
8,_format_user_or_group_width,3.0*1.0**n,0.3725321292877197,gammaTime,0.196,1.0,-T0 + 2*x**5 + x**3
9,_rpl_mbrtowc,8.0*1.0**n,0.607741117477417,gammaTime,0.372,1.0,-T0 + x**4*(2*x**3 + 3*x**2 + 2*x + 1)
10,_c32width,1.0**(n + 1),0.14234423637390137,gammaTime,0.055,1.0,-T0 + x**3
11,_is_ENOTSUP,2.0*1.0**n,0.23847603797912598,gammaTime,0.093,1.0,-T0 + x**2*(x + 1)
12,_rotl_sz,1.0**(n + 1),0.12470793724060059,gammaTime,0.051,1.0,-T0 + x**3
13,_hash_reset_tuning,1.0**(n + 1),0.1369471549987793,gammaTime,0.05,1.0,-T0 + x**3
14,_gettext_quote,4.0*1.0**n,0.44759178161621094,gammaTime,0.227,1.0,-T0 + x**3*(x*(2*x + 1) + 1)
15,_locale_charset,4.0*1.0**n,0.4639160633087158,gammaTime,0.214,1.0,-T0 + x**3*(x**2 + 2*x + 1)
